sample_name	location	treatment	sample_type
SRR9903905	L2	PE	sediment
SRR9903906	L2	PE	sediment
SRR9903907	L2	PP	sediment
SRR9903908	L2	PP	sediment
SRR9903909	L2	control	sediment
SRR9903910	L2	control	sediment
SRR9903911	L2	PE	water
SRR9903912	L2	PE	water
SRR9903913	L2	PP	water
SRR9903914	L2	PP	water
SRR9903915	L2	control	water
SRR9903916	L2	control	water
SRR9903917	L3	PE	sediment
SRR9903918	L3	PE	sediment
SRR9903919	L3	PP	sediment
SRR9903920	L3	PP	sediment
SRR9903921	L3	control	sediment
SRR9903922	L3	control	sediment
SRR9903923	L3	PE	water
SRR9903924	L3	PE	water
SRR9903925	L3	PP	water
SRR9903926	L3	PP	water
SRR9903927	L3	control	water
SRR9903928	L3	control	water
SRR9903929	L3	control	water
